"id","title","category","data_ambigua","contexto"
"4f68ef71-5148-4538-8f0a-89e0202277c8","004 - Empresa de Limpeza","geral","12/1/12","- **Data Contrato:** 12/1/12"
"41eafee5-ea64-4edb-a080-c2e4ccfb8ad3","006 - Elevadores","elevadores","1/1/16","- **Data Inspeção:** 19/10/2027"
"dbb902b7-5edc-4667-905b-5bb7cc6cbcbe","006 - Empresa de Limpeza","geral","5/2/23","- **Data Contrato:** 5/2/23"
"cf180cf8-b88f-4d7e-9438-e691326f385a","006 - Extintores","extintores","4/1/27","- **Data:** 4/1/27"
"a25a8223-24a6-44c7-b2d4-cff8c123c5a1","008 - Elevadores","elevadores","5/7/26","- **Data Inspeção:** 5/7/26"
"1074a251-da7f-4143-99a4-2044203b1a67","008 - Empresa de Limpeza","geral","7/1/24","- **Data Contrato:** 7/1/24"
"60af42ee-e595-4040-a6d8-9545280c1b6e","008 - Extintores","extintores","8/1/26","- **Data:** 8/1/26"
"6abacec6-0950-49fe-934d-48abe8f4f6d6","017 - Desbaratização","desbaratizacao","11/1/26","- **Data Contrato:** 11/1/26"
"9416469c-173a-4b8f-8433-b3ad13830149","017 - Elevadores","elevadores","10/1/09","- **Início Contrato:** 10/1/09"
"f5e968f9-f4bc-4c62-bc06-1a2e102d9ed8","017 - Extintores","extintores","12/1/26","- **Data:** 12/1/26"
"abb0a942-2c94-4f3f-9cd3-3748acdf1886","029 - Elevadores","elevadores","11/6/26","- **Data Inspeção:** 11/6/26"
"864b71d6-6075-41a2-8580-2928c96c0e5c","029 - Extintores","extintores","5/1/26","- **Data:** 5/1/26"
"e5bbfb1e-e64f-4769-9d73-0199b85027a2","031 - Desbaratização","desbaratizacao","5/8/25","- **Data Contrato:** 5/8/25"
"78784020-e198-4c80-8a01-b2cdcb51f01a","031 - Elevadores","elevadores","8/10/26","- **Data Inspeção:** 8/10/26"
"416d4f07-0ced-439b-9422-dbda55a5f6a1","031 - Empresa de Limpeza","geral","2/3/14","- **Data Contrato:** 2/3/14"
"2423016d-1d84-4c73-a897-b04b9073e94b","031 - Extintores","extintores","4/1/27","- **Data:** 4/1/27"
"0a180d6a-bbbb-4d7f-a5af-6fa016b58f04","035 - Desbaratização","desbaratizacao","5/8/25","- **Data Contrato:** 5/8/25"
"7b1f268c-0bf7-4d8b-a093-85320265813a","035 - Elevadores","elevadores","4/5/07","- **Data Inspeção:** 17/10/2027"
"e2e1a746-a3a4-4041-ba95-402db10eba39","035 - Extintores","extintores","4/1/27","- **Data:** 4/1/27"
"bd23a119-c35f-46dd-b12b-8e24d70303cb","045 - Elevadores","elevadores","2/10/27","- **Data Inspeção:** 2/10/27"
"42ec45e2-2a41-4480-8ea0-9bc91302d9fa","045 - Extintores","extintores","4/1/26","- **Data:** 4/1/26"
"10a4a2c3-b26b-4e9b-916b-0343f8a70248","064 - Desbaratização","desbaratizacao","5/8/25","- **Data Contrato:** 5/8/25"
"a3283450-f15e-487a-bcbf-fa9fd1ce279e","067 - Elevadores","elevadores","7/1/12","- **Data Inspeção:** 15/05/2027"
"233a9cf3-2ed6-4219-8f34-7e8235bfcc08","074 - Elevadores","elevadores","3/1/13","- **Início Contrato:** 3/1/13"
"13a4a4a2-f85b-4a44-9be8-b26856b48af4","077 - Empresa de Limpeza","geral","5/2/12","- **Data Contrato:** 5/2/12"
"1ce30bd0-cf5b-4c5b-b6d3-faf2acf8d78e","077 - Extintores","extintores","9/1/26","- **Data:** 9/1/26"
"10f16193-912d-4e3f-a80a-6301c9ce6116","078 - Empresa de Limpeza","geral","5/2/12","- **Data Contrato:** 5/2/12"
"9c6df60b-19da-4c6c-b8d6-b4bf4875b8e8","082 - Elevadores","elevadores","7/1/23","- **Início Contrato:** 7/1/23"
"97769794-e089-4b7e-adbe-3da8ff3a86a1","082 - Extintores","extintores","10/1/26","- **Data:** 10/1/26"
"93f31a67-e8de-4511-b5a6-d07b43335624","083 - Desbaratização","desbaratizacao","5/8/25","- **Data Contrato:** 5/8/25"
"be365776-7b4c-47ef-ad06-340347fa0487","083 - Elevadores","elevadores","4/1/09","- **Data Inspeção:** Elevador nº 1 -- 13/12/2026                                 Elevador nº 2 -- 00-00-0000"
"73bd2e3a-9572-4ef4-9b47-aa9ab00f6573","083 - Empresa de Limpeza","geral","4/1/09","- **Data Contrato:** 4/1/09"
